"","ind","set","c","bp","coverage"
"42",1,"5_Egn2_iHMM_GM12878",99739429,40028756,2.49169444586287
"43",1,"6_Egn3_iHMM_GM12878",455901345,180155677,2.53059660728871
"44",1,"7_Egn4_iHMM_GM12878",242159904,97075950,2.49454065605333
"45",1,"8_Egn5_iHMM_GM12878",78683864,30156712,2.6091658798877
"46",1,"9_Egn6_iHMM_GM12878",367811316,150264385,2.44776109788091
"47",2,"All_reads",4310304330,3e+09,1.43676811
"48",2,"H2AFZ-human_GM12878_ENCFF001SUD",416291291,288036491,1.44527274844492
"49",2,"H2AFZ-human_lung_ENCFF888SIA",96244044,48896494,1.96832198234908
"50",2,"H3F3A-human_lung_ENCFF926ZHI",176086040,103936536,1.69416883395075
"51",2,"H3K27ac-human_GM12878_ENCFF001SUG",212220238,166141897,1.27734329408794
"52",2,"H3K27ac-human_lung_ENCFF371BKL",144666000,89536868,1.61571432228342
"53",2,"H3K27me3-human_GM12878_ENCFF001SUI",1642044037,1022773586,1.60548146674566
"54",2,"H3K27me3-human_lung_ENCFF468ZHH",247808925,146540119,1.69106540032221
"55",2,"H3K36me3-human_GM12878_ENCFF001SUJ",776892182,580278190,1.33882712703712
"56",2,"H3K36me3-human_GM12878_ENCFF001WYF",222884637,96031201,2.32096063236781
"57",2,"H3K36me3-human_GM12878_ENCFF001WYH",222432556,94013533,2.36596316404788
"58",2,"H3K36me3-human_lung_ENCFF457NNG",102013601,59362744,1.71847852922702
"59",2,"H3K4me1-human_GM12878_ENCFF001SUE",513510740,368077180,1.39511702409804
"60",2,"H3K4me1-human_lung_ENCFF209XDL",212284565,128997637,1.6456469276255
"61",2,"H3K4me2-human_GM12878_ENCFF001SUL",270716990,213945450,1.26535521087268
"62",2,"H3K4me2-human_lung_ENCFF270NMV",179386293,112466077,1.59502578719804
"63",2,"H3K4me3-human_GM12878_ENCFF001SUF",331766416,245538981,1.35117615398103
"64",2,"H3K4me3-human_GM12878_ENCFF001SUM",240179007,185179234,1.29700831897814
"65",2,"H3K4me3-human_lung_ENCFF347EMU",77874534,50370689,1.54602876287835
"66",2,"H3K4me3-human_lung_ENCFF361TGO",64975743,41775242,1.55536484983139
"67",2,"H3K79me2-human_GM12878_ENCFF001SUN",380322498,288163197,1.3198163469848
"68",2,"H3K79me2-human_lung_ENCFF292NSP",168210183,107574476,1.56366258293464
"69",2,"H3K9ac-human_GM12878_ENCFF001SUO",162991985,133249659,1.22320752055358
"70",2,"H3K9ac-human_lung_ENCFF555OKO",81584513,51487077,1.58456291857469
"71",2,"H3K9me2-human_lung_ENCFF447MUW",17736087,7775978,2.28088183891467
"72",2,"H3K9me3-human_GM12878_ENCFF001SUP",859559690,539366538,1.59364667520402
"73",2,"H3K9me3-human_lung_ENCFF813YSM",57909765,30399782,1.90494014068917
"74",2,"H4K20me1-human_GM12878_ENCFF001SUQ",1083145788,722115670,1.49996161695259
"75",2,"H4K20me1-human_lung_ENCFF272PZA",76078889,45394239,1.67595912335924
"76",2,"10_Rep1_iHMM_GM12878",40619044,23265451,1.74589540516537
"77",2,"11_Rep2_iHMM_GM12878",703663980,357828059,1.96648631179591
"78",2,"12_Het1_iHMM_GM12878",118662042,60241709,1.96976553238222
"79",2,"13_Het2_iHMM_GM12878",366059367,185278244,1.97572774383591
"80",2,"14_Low1_iHMM_GM12878",679917891,354762932,1.91654152582097
